definition,word,author,tags,up,down,date
"A wild, mobile party with a long line of cars with all the doors open, in which occupants ghost-ride, flambost, dance on the hood and roof, and otherwise get hyphy.",Hyphy Train,Lex Diamond,"[u'#flamboasting', u'#hyphy', u'#thizzle', u'#ecstacy', u'#ghostride', u'#ghostride the whip']",65,80,"May 25, 2006"
Mayne is a Southern term used the same as sayin 'man.' Its in alot of Crunk Songs.,mayne,Shae,[],627,251,"September 01, 2004"
"any instance when you come upon easy money, whether you jack it, hustle it, or barter for it",lick,Anonymous,[],1434,435,"April 15, 2003"
"Australian origin.adj. not stylish, out of fashion, not trendy, not cool, untidy, unclean, not neat.v. to have no style.",daggy,JBar,[],1637,568,"January 21, 2004"
Extremely muscular or buff.,swole,Low Clef,[],2669,798,"April 14, 2004"
"An unnecessarily extreme reaction. Making a big deal out of nothing. See buggin, wylin out, wylin.",Beastin,Octavian,[],272,105,"March 09, 2004"
"A style of music originating in the Dirty South. Unlike Crunk music, Snap music has a slower tempo but still talks about clubbin' and strippers. It is characterized by the finger snap effect in place of the snare drum. Different people can take credit for originating this style from Fabo, D4L, and Dem Franchise Boys.",snap music,wow7127,"[u'#laffy taffy', u'#crunk', u'#ticking', u'#rapping', u'#music']",296,96,"December 16, 2005"
"Refers to a subject that is vastly or categorically set apart from the previous subject. Unique in the English language as one of the few 'infixes' (as opposed to prefix or suffix). Other infixes include re-fucking-diculous.",a-whole-nother,Dean William,"[u'#a whole nother', u'#another', u'#different', u'#set apart', u'#subject change']",258,113,"May 27, 2006"
Describes someone who sends long emails or instant messages. Talkative for the IM generation.,typeative,jetsgrumbler,"[u'#talkative', u'#chatty', u'#glib', u'#loquacious', u'#terse']",93,34,"May 22, 2006"
"Alternating doctors to obtain overlapping prescriptions. Most commonly done to obtain painkillers such as oxycontin.",doctor shopping,Ryan Murray,"[u'#painkillers', u'#oxycontin', u'#rush', u'#limbaugh', u'#vicodin']",95,223,"May 10, 2006"
"A blank facial expression (Somewhat similar to a poker face) used while riding a bus. A person sustaining a bus look is often in deep thought or examining the surrounding people. Off the bus, this can be considered acting Stoic.",Bus look,Adam Kern,"[u'#stoic', u'#poker face', u'#emotionless', u'#gaze', u'#out of it']",172,60,"May 19, 2006"
"A thug that has ""made it"" to the big time.  Originally refered ball players that made it out of the streets to make millions as a pro ball player, but now is used to describe any thug that is living large.",baller,thug4life,[],6629,2325,"September 28, 2002"
"A person who frequently attacks others in speech or writing, but who poses no intellectual threat whatsoever.  The motivation of this type of person can usually be accurately construed as a desire to be obnoxious and offensive. Origin: The phrase ""porch dog"" is used to refer to dogs that sit on front porches and bark (vigorously and fruitlessly) at passersby, but who pose no physical threat.",porch dog,Vitruvian Man,"[u'#troll', u'#asshole', u'#whiner', u'#dickhead', u'#wanker']",4382,715,"May 19, 2006"
"the act of, or result of lifting weights or exercising (pushups, pull ups, etc.) right before going out to a bar or club with the desire to engorge your muscles with blood, or produce a pump, in order to temporarily make them larger in order to impress the opposite sex.",club pump,J1HittaQuitta,[],245,145,"April 19, 2004"
"A hipster with a professional job who seeks to climb the corporate ladder but remains true to indie musical tastes, lives in a hipster neighborhood, and likely has a hipster hairstyle.",yupster,Nathan Stange,[],371,87,"March 15, 2004"
The loop of options where you get stuck when trying to navigate your voice mail.,voicejail,thaley,"[u'#voice mail', u'#voice jail', u'#voice-jail', u'#message', u'#cell phone']",2422,802,"May 15, 2006"
An Internet dating term.  When a person you are meeting for the first time is wearing the same outfit pictured in their Internet dating profile.,double exposure,MarkSol,"[u'#doubleexposure', u'#dating', u'#date', u'#internet dating', u'#internet date']",85,66,"May 13, 2006"
"To perform a search for one's own name, or especially their online nickname, using any search engine on the World Wide Web. -also called ego surfing. See also ""googling""",ego search,ginger petunia,[],167,39,"October 24, 2003"
"since badunkadunk is a big booty, badinkadink is a small booty.",badinkadink,babygurl69,[],165,67,"May 04, 2004"
A term to imply that sexual relations would be desired between a patron and a library employee.,Take him to the stacks,Urban Dictionary,"[u'#take it to the stacks', u'#take her to the stacks', u'#take that to the stacks', u'#stack it', u'#take that one to the stacks']",56,77,"May 11, 2006"
"1. implies a conspiracy, like a conspiracy theorist. In reference to the book ""The Da Vinci Code."" 2. a reference to Leonardo da Vinci: scientist, inventor, and artist. 3. to hack or grok.",Da Vinci,Delig,"[u'#conspiracy', u'#the da vinci code', u'#conspiracy theory', u'#area 51', u'#illuminati']",36,167,"November 23, 2005"
"The female version of dude, according to George W. Bush.",dudess,Meach,[],70,176,"September 11, 2003"
"A good response to ""how are you?"" If you're really livin' the dream, hold your right hand up in a ""rokk!"" symbol (same as sign language for ""I love you""). If you are hyper-livin', hold up both hands. Can be shortened to ""livin' it.""",livin' the dream,EllenMuehlberger,"[u""#livin'"", u'#rokk!', u'#hand gestures', u'#hyper-live', u""#livin' it""]",156,109,"May 05, 2006"
"When you park your car in a very large parking lot and have to practically take a tram to get back to it. Each section of the parking lot at Walt Disney World is labeled by character names, and Goofy is the section farthest from the ticket center. Similar to BFE.",parked in goofy,justageekboy,"[u'#bfe', u'#bum fuck', u'#disney', u'#goofy', u'#parked', u'#park']",183,67,"May 03, 2006"
When someone tells lies or stories to fit in with the crowd.,lie to kick it,LaDizzle Mix,"[u'#lie', u'#to', u'#kick', u'#it', u'#fake']",148,69,"May 02, 2006"
"1.  A phrase used as a formal declaration of defeat.  For example:  ""Kenneth replied  'yo mama' when he realized he could not counter his opponent's point."" 2.  The principle part of a ""Yo Mama"" joke, usually entailing a description of  your mother being so ""something"" that ""something"" occurred as a result.",yo mama,Ben,[],1164,370,"September 10, 2003"
"The breakdown lane on a highway. Why? Because that's how much money you gotta pay if a cop catches you driving in it. (Can also mean the leftmost lane for trucks when they are only allowed to drive on the right.)",500 dollar lane,creaternity,"[u'#driving', u'#highway', u'#breakdown lane', u'#cop', u'#ticket', u'#car']",108,68,"May 02, 2006"
"alcoholic beverages consumed at someone's house/residence before an evening of partying at a bar or nightclub, the premise being to save cash which you would otherwise have to spend at the establishment in order to get fully buzzed.",primer,hipster,"[u'#booze', u'#buzz', u'#bar', u'#club', u'#crunk']",291,108,"November 24, 2005"
"The feeling of listlessness, bordering on sleep, that one feels after eating a large meal, often caused by a rush of blood to the stomach and intestines during food digestion.",food coma,Cap'n Sweaty!,[],1060,322,"October 09, 2003"
"A person who spends their life telling others what is or is not a word, based on what they have read in books. First coined by Steven Colbert on the Colbert Report during a segment of The Word.",Wordanista,Baba Nace,"[u'#word police', u'#elitist', u'#pretentious', u'#webster', u'#oxford']",242,74,"January 30, 2006"
"1. The status of being bent for more than a day. Usually results in loss of memory, money, strange tattoos, and other things you'll have a hell of a time explaining. 2. A homosexual male (British slang). Someone who is bent, that is, not straight. 3. The alcoholic, chain-smoking, kleptomaniac robot on Futurama.",bender,AJ Barrow,[],3061,1073,"June 24, 2005"
An imaginary unavailable material used humourously to solve otherwise impossible problems; an item of unaffordable price.,unobtainium,Peter Baird,[],355,57,"August 16, 2003"
"The ""relationship"" of Brad Pitt and Angelina Jolie.",brangelina,Nydeera,[],138,227,"June 07, 2005"
This phrase is used to either be emo or to mock an emo kid. It describes the classic emo musician and poignantly mocks the ever-so-sad emo song. ,Tune my guitar to sad,Lia M.,"[u'#emo', u'#sad', u'#music', u'#punk', u'#song']",274,30,"April 15, 2006"
Steering your car side to side when driving. Mostly done when cruising.,swang,koopa,[],905,314,"March 05, 2004"
"The actual name of the pillsbury doughboy, or to be extremely fresh",poppin fresh,Funk Dog,[],250,75,"May 20, 2004"
"While driving a car, open the door and climb out onto the hood while the car continues to roll. It is typical for one to dance around on the hood while the car is ghostin. ",ghost ride,yadidimean mate,"[u'#dumb ride', u'#ghostin', u'#ghost ride the whip', u'#g rida', u'#doo doo rida']",1704,454,"October 30, 2005"
"some one who doesnt know how to take a joke, and they take the joke like they just took it to the ass",butt hurt,vot,[],2348,1359,"October 09, 2003"
Taking all the suspense out of a movie by revealing spoilers to someone who hasn't seen it.,mysterectomy,Ben Frey,"[u'#hysterectomy', u'#spoilers', u'#movie', u'#sixth sense', u'#plot twist']",162,55,"April 14, 2006"
"getting up (relatively)early, rushing to the local McDonalds, only to discover you missed the breakfast mark by .0005 of a second.",McLetdown,bob_of_bobs,"[u'#mcdonalds', u'#miky d', u'#mcdad', u'#mcfood', u'#mcsomething']",447,96,"April 14, 2006"
"When someone is submitting their resume to employers, particularly when trying desparately to escape a sinking ship.",dropping paper,Cabron Mejor,"[u'#employment', u'#resume', u'#recruiting', u'#job', u'#quitting']",101,50,"March 08, 2006"
"An effort to deceive, overwhelm, or persuade with insincere talk, especially flattery.",snow job,JS,[],752,305,"July 24, 2003"
Putting in some money toward the purchase of an item or items.  Usually indicates a willingness to contribute.,five on it,Majik Fox,[],195,70,"October 28, 2004"
"(adjective) inferior quality; held in low social regard; old and delapidated; refers almost exclusively to inanimate material objects, not to people",janky,the jankinator,[],3780,1007,"March 25, 2003"
"A mohawk, but instead of a ""real"" mohawk where you shave the sides of your head, you just glue up the middle part of your regular hair so that it is in the style of the mohawk.",faux hawk,Haushinka,[],702,143,"November 24, 2003"
"Used to express that a surprising victory or zinger has occurred.  (Usually accompanied by a two-handed gesture: both arms up, palms forward. Then, swing wrists so that your palms end facing the floor without moving your arms. Do this as you say ""swish"")",swish,DrMomentum,[],76,90,"June 02, 2004"
"The ultimate definition of a college relationship - when on one's facebook profile it says ""In A Relationship"" and your significant other's name. ",Facebook Official,ilovebronsonscornrows,"[u'#relationship', u'#relationship of convenience', u'#dating', u'#college', u'#facebook']",950,169,"December 11, 2005"
dirty south; hip-hop slang for the southeast,third coast,Nick Victim,[],441,305,"April 20, 2004"
"Nickname given to Tom Cruise and Katie Holmes' baby, Suri. It is a play on the word, ""TomKat"", which is a combination of Tom and Katie's first name.",tomkitten,Urbanonymous_Poster,"[u'#tom', u'#katie', u'#cruise', u'#suri', u'#tomkitten']",140,124,"April 19, 2006"
"420, indeed, was thought of years ago as the time of day some people got together to smoke pot.  Now it is used as code for ""Let's go get high."" Also, some people consider it to be April 20th that is ""National Pot Smoking Day.""I prefer all of the above.",420,Lonnie,[],5561,4617,"September 29, 2004"
Both dorky and adorable. A higher state of being all dorks strive towards.,adorkable,Insufficient Postage,"[u'#dork', u'#adorable', u'#dorky', u'#adore', u'#charming', u'#irresistable']",1366,229,"February 09, 2006"
"When you're looking forward to leaving work early or on time, but are kept late either by a new assignment from your boss or a chatty coworker.",clockblock,Ben Frey,"[u'#time clock', u'#work', u'#clockwatcher', u'#weekend warrior', u'#timesheet']",336,89,"April 07, 2006"
"People who only show up at church on Christmas and Easter, the only two times a year where church attendance seems 'mandatory'.",C and E,LFJ,"[u'#c&e', u'#christmas and easter', u'#c and e', u'#religious zealot', u'#minister']",355,89,"February 10, 2006"
"1. wanna be2. someone who rides on one's coattails3. side kick, unwanted",hop along,Bud E Love,[],98,45,"May 06, 2003"
to use excessively,Tax,Silent Ninja c1998,[],121,117,"July 15, 2003"
A heightened state of excitement or ecstasy over the completion of any facet of the taxation process.  Usually experienced by CPA's.,Taxgasm,"mojoequik, fcoppin, jjensen, rbell","[u'#orgasm', u'#tax', u'#accounting', u'#climax', u'#taxation']",67,142,"March 15, 2006"
"Short for background props. Placing oneself in the background of another person's picture, usually striking some strange pose or making some other gesture, unbeknownst to the subjects or the photographer.",BGP,Your mom,[],758,1184,"January 17, 2005"
"When you link someone to a website they have already seen. It refers to a fictional top-level domain (like .com, .net and .edu) that, if it existed, would house all the old shit everyone has seen but you.",.old,foo?,"[u'#dotold', u'#old', u'#internet', u'#linking', u'#ebaumsworld']",130,91,"March 03, 2006"
The term for gay couples to become engaged or plan on becoming married.,engayed,Dan A. Root,"[u'#marriage', u'#engaged', u'#married', u'#gay', u'#wedding', u'#wedlock', u'#brokeback mountain']",5987,3823,"March 05, 2006"
"Situation in which you are long past the working time of your deodorant, you start to get B.O., and the armpits of your shirt get wet.",pitted out,doclagoa,"[u'#b.o.', u'#armpit', u'#body odor', u'#sweat', u'#perspire']",67,61,"March 22, 2006"
Sarcasm mixed with a generous helping of bitterness.,sarcaustic,L.A.R.S.O.,"[u'#sarcastic', u'#caustic', u'#bitter', u'#noodle', u'#angry']",129,80,"March 23, 2006"
"No underlying message, no hidden meaning, no concealed information, no ulterior motive.",no asterisks,make me dance,[],70,111,"July 27, 2005"
"While splitting a check when out with a group, paying the whole tab with your credit card and taking everyone else's cash instead of going to the ATM.",table banking,Mercy,"[u'#check', u'#bank', u'#lazy', u'#better than splitting it 5 ways', u'#credit']",274,85,"March 22, 2006"
"After calling someone you don't want to talk to, you're relieved to hear the familiar sound of their answering machine. You're almost done leaving your perfect getaway message when ""surprise"" you're chatting live because someone picked up the phone after hearing your voice.",message interruptis,Dina Di Stefano,"[u'#voice mail surprise party', u'#phoney', u'#voicejail', u'#voicemail hell', u'#message punt']",63,96,"March 17, 2006"
"Looking back on a situation or event, regretting that you didn't do what you should have done, and developing malicious ill will because of it.  Similar to standard regret, but someone else is gonna have to pay for it.",hindspite,haskel,"[u'#pregret', u'#spite', u'#grudge', u'#malignity', u'#hate']",133,44,"March 15, 2006"
When one is struck and (usually) knocked down by a large wave. Implies losing something of value in the ocean. A derivative of 'bitch-slap'.,beach slap,watahmortah,"[u'#surfing', u'#bitchslap', u'#drowned', u'#beachslap', u'#ocean', u'#bodyboard']",137,59,"February 25, 2006"
"In sports, specifically the playoffs, a Cinderella is a team that does better than expected near the beginning and then quickly fades.",Cinderella,guided fox,[],316,163,"March 21, 2005"
"The fist used to express deep or extreme emotion during a song, in which the singer extends a fisted hand and brings it back in toward their body with intensity of emotion. ",feeling fist,MandyM,"[u'#karaoke', u'#sing', u'#dance', u'#feeling', u'#fist']",142,50,"March 25, 2006"
"Verb. Etymology: coming from the modern car tuning scene.a phrase that means to modify a vehicle with as many types of aftermarket parts, performance or visual-wise, as are supported by that certain vehicle.",Trick Out,DJ FoxPhyre,[],1553,463,"March 26, 2003"
Injuring oneself by using a sharp object to try to open hard-to-open plastic packaging like the kind they sell cheap consumer electronics or household items in.  Growing phenomenon described in the Pittsburgh Gazette and popularized by Stephen Colbert.,wrap rage,Ben Frey,"[u'#plastic', u'#rage', u'#consumer goods', u'#road rage', u'#air rage']",275,51,"March 28, 2006"
When you've maxed out all your credit cards.,swipeout,Craig Steele,[],120,52,"February 07, 2004"
"Describe a vehicle with wheels that are less than desirable: too small, ugly, mismatched, trashy, horribly colored, etc.",rollin' pennies,M to the triple E,[],52,77,"July 29, 2005"
"A person that spends a keen amount of attention and energy on knowing the ingredients of food, the proper preparation of food, and finds great enjoyment in top-notch ingredients and exemplary preparation.A foodie is not necessarily a food snob, only enjoying delicacies and/or food items difficult to obtain and/or expensive foods; though, that is a variety of foodie.",foodie,genericpseudonym,[],1392,940,"February 25, 2005"
a style of writing that uses only lower-case letters.,shiftless,samuel ross,[],105,73,"July 27, 2005"
n. Muffling out an interlocutor by slowly - yet unexpectedly - turning away their cranium with the palm of your hand.  Can be construed as either playful or patently insolent by the receiving end.,face-turning,brown eyed girl,"[u'#talking to the hand', u'#bitch slapping', u'#pimp slapping', u'#face slapping', u'#shutting up']",63,95,"March 09, 2006"
1.verb: to show someone (or thing) that they are wrong or that they do poorly in reference to a specific field through punishment or humiliation ,learn you a lesson,bryon lasagna,"[u'#teach', u'#show', u'#prove', u'#humiliate', u'#punish']",75,145,"March 11, 2006"
"A saying used to ignore and disregard a comment or an insult when you can't think of a way to counter it. When this phrase is used, it is customary to raise your hand, palm facing out, and place it almost touching your adversary's face. This can make even the most civil person raging mad. Another variation is ""talk to the hand 'cause the face don't give a damn'."" I really did not know that people still said this.   ",talk to the hand,Mia,[],812,172,"September 01, 2003"
The term used by marketing people to describe potential buyers of old-age.,gray market,BoJay,[],46,187,"August 27, 2005"
"The degree of familiarity with another person, which, if you chance to encounter them on the street, will determine if you merely greet them in passing or stop to talk. ",chat gravity,ClevelandRox,"[u'#know', u'#acquaintance', u'#friend', u'#conversation', u'#small talk']",113,98,"March 07, 2006"
"Derived from highway, it means a path in a crowd where many people pass through, e.g. on parties. One should use crowdways to go from point A to point B to annoy the least possible amount of people.",crowdway,relix,[],204,111,"July 17, 2005"
Doubling your money.,flip your money,Minino,[],116,118,"June 09, 2005"
The total amount of time one can manage being on the phone with someone.,phone stamina,Keael,"[u'#phone', u'#phoen', u'#stamina', u'#stamnia', u'#telephone']",256,54,"March 15, 2006"
Socks which failed to be removed prior to intercourse. Said socks need not be used only during sex. Party socks are usually the result of laziness or haste.,Party socks,lol party sox,"[u'#socks', u'#sex', u'#fucking', u'#fuck', u'#wtf', u'#intercourse', u'#ridiculous', u'#hilarious', u'#party sox', u'#sox']",484,141,"December 06, 2005"
"To gamble recklessly and aggressively after a bad or improbable beat or series of bad or improbable beats. Usually results in losing all of your money and then some. Good gamblers avoid this at all costs, even if it means going home earlier than expected.",on tilt,ACG2x,[],316,151,"January 26, 2004"
"The body's preparation for a sneeze, which is deferred just before climax. (The ""ah... ah... ah"" without the ""choo""). The feelings and sensations of a sneeze come to you, but just as you are about to exhale with explosion, it miraculously disappears.",sneeze tease,Patio furniture,"[u'#fake sneezing', u'#fugazi sneezing', u'#quasi sneezing', u'#pretentious sneezing', u'#pretend sneezing']",289,43,"March 05, 2006"
Using Google to mediate a dispute between two parties or to do appropriate research.,Goo-diligence,Scott Hess,"[u'#due diligence', u'#research', u'#background check', u'#google', u'#g-cred']",81,173,"March 08, 2006"
A meal that requires nothing more than pushing numbers on the microwave. Often times a frozen dinner or leftovers.,cook by numbers,Erik Belsaas,"[u'#frozen dinner', u'#single', u'#bachelor', u'#leftovers', u'#easy']",274,62,"March 01, 2006"
An imaginary liquid used in automobiles (to make the blinkers work). This term is used as a sarcastic remark toward someone who knows ablsolutely nothing about cars.,blinker fluid,Peaches Witherspoon,[],693,150,"August 22, 2005"
a form of pants like clothing in which the waist band is made of elastic for easy expansion of the abdomen.,buffet pants,jay duncan,[],235,49,"August 22, 2005"
"Short for ""Baby's Daddy"". The father of your child, whom you did not marry, and with whom you are not currently involved.",baby daddy,snarkette,[],2276,660,"April 23, 2003"
"When one gets a text message when their phone is on vibrate. The phone vibrates and creates a massaging feeling in ones thigh, creating pleasure to the recipient.",text massage,Ryan J G,"[u'#butt hole pleasures', u'#rusty trombone', u'#shit stain balls', u'#pussy juice', u'#dirty sanchez']",395,108,"February 25, 2006"
"To chill or stand at a spot (like a club or a street corner etc). To claim a spot. The term came from drug dealers on street corners, like light posts and street posts, and there you have it POST UP!",post up,dada-ecko,[],724,261,"February 10, 2005"
A system of government characterized by rampant corruption and misallocation of public funds.,kleptocracy,Joseph T. Rodolico,[],508,132,"May 18, 2005"
To break or harm ones limbs or organs through dancing.,Discolocate,Mr. Lubba Lubba,"[u'#break', u'#injure', u'#hurt', u'#dislocate', u'#rupture']",70,167,"March 01, 2006"
Someone who makes a living selling bullshit to the masses.,Entremaneur,"TomShark, President/CEO of Oddly Enough","[u'#mayor', u'#governor', u'#senator', u'#congressman', u'#politician']",493,214,"January 20, 2006"
The name you use to identify yourself to the stranger sitting next to you on the plane.,plane name,Joseph Sanscrainte,"[u'#alias', u'#pseudonym', u'#aka', u'#assumed name', u'#handle', u'#stage name.']",184,57,"January 22, 2006"
"The act of dropping one's face / forehead into one's hand. Usually accompanied by a ""thunk"" or a cr a cry of ""D'oh!"" Usually written between asteriks in online conversation, to demonstrate an action. Similar to *headdesk*",facepalm,Moondog,[],2578,751,"February 10, 2004"
"Going into your garage to sit on your motorcycle, because it's still too ""out of season"" for use.",garage racing,D. Gould,"[u'#longing', u'#waiting', u'#missing', u'#yearning', u'#pining']",87,92,"February 20, 2006"
"The imaginary rescue vehicle that will rescue you from  someone's incessant whining over a trivial matter.  Used mockingly, but in good humor.",whambulance,FiYoG,[],706,144,"October 10, 2004"
Obsession and erotic enjoyment derived from the mere thinking of Apple(tm) Nano Ipod or its accessories ,Nanogasm,Jpspiderman,"[u'#ipod', u'#nano', u'#orgasm', u'#electronic', u'#fun']",57,288,"January 25, 2006"
"The process of getting ready for a fight, stemming from the process of lacing up boxing gloves, or to beat or knock some one out in a fight.",laced up,logikflux,[],262,128,"December 29, 2004"
Credit Whore (CW) is someone that does something nice just so they can bring it to everyone's attention and get credit for it.,Credit Whore,E. C.,"[u'#credit ho', u'#cw', u'#clap seeker', u'#recognition hog', u'#spot lighter']",301,65,"February 04, 2006"
A mathematical term used to describe how extreme a mullet hairstyle is.  It is found by comparing how long the hair on top of the head is compared to how long the hair hangs at the back of the neck.  ,mullet ratio,PeaTearGriffin,"[u'#mullet', u'#ultimullet', u'#kentucky waterfall', u'#redneck', u'#trailer trash']",216,45,"February 23, 2006"
"Noun: an email assault so vicious in tone the recipient loses an eye to you. Verb: to textually assault an individual via the internet.",emaul,Grae,"[u'#email', u'#defame', u'#slander', u'#malign', u'#besmirch', u'#vilify', u'#denigrate', u'#castigate', u'#impugn', u'#criticise', u'#criticize']",187,77,"January 17, 2006"
"In celebration, when one person goes for a high five and another goes to pound it (fist to fist). A slight moment of confusion occurs, normally resolved in two to 20 seconds.",hand hold up,benormous,"[u'#hand', u'#hold', u'#up', u'#hold up', u'#pound', u'#pound it', u'#hi5', u'#high 5', u'#high5', u'#high five', u'#confusion', u'#congratulate']",201,75,"February 22, 2006"
"Democracy in physical action. when you 'vote with your feet', or whenever free-expression about politics involves walking or running or pushups.",cardiocracy,Mark Zatopek,"[u'#democracy', u'#exercise', u'#voting', u'#cardiomocracy', u'#elections', u'#republic']",31,146,"February 17, 2006"
"(1) Referring to a dance move where a girl drops her ass to the floor and gets freaky. (2) A basketball term for dropping shots through the hoop. (3) A term for rappers when they drop lines/bars/rhymes that're hot.",drop it like it's hot,Bitten Concepts,[],632,269,"September 01, 2004"
"When one visits several different thrift shops, second-hand shops, and vintage clothing stores in the hopes of buying several items of cheap and unusual clothing and other items. One usually does this with friends.",thrifting,Pennyroyalest,"[u'#thrift stores', u'#used clothes', u'#vintage', u'#cheap', u'#trendy']",353,99,"February 17, 2006"
"a. A person that is so involved in drugs, alcohol, sex, and general debauchery above what is conceiveably possible.b. A shady character.c. Someone that appears to have no moral judgment, self-respect, or general hygiene to the point where he/she is a total laughingstock that must be avoided.",sketchball,Rooster,[],323,92,"October 24, 2003"
"(adj.) Used to describe anything of questionable masculinity. Believed to have originated from the 2005 motion picture Brokeback Mountain.",Brokeback,BR-&-D,"[u'#gay', u'#feminine', u'#masculine', u'#manly', u'#metrosexual']",2835,692,"January 22, 2006"
A poseur cowboy.  One who dresses up as a cowboy to do non-cowboy activities,drugstore cowboy,MistahTom,[],228,227,"August 01, 2005"
"The super long shower one takes when they have something better to do, like study for a chemistry exam. ",procrastishower,OT9,"[u'#procrasti-shower', u'#procrastishowering', u'#procrasti-showering', u'#showering', u'#procrastinate', u'#procrastinating', u'#shower']",455,67,"February 14, 2006"
"Defines the depth, closeness, and intimacy of a relationship. Friends with refrigerator rights can help themselves to anything in your refrigerator without asking permission.",refrigerator rights,bo-tan,"[u'#friendship', u'#friends', u'#chums', u'#refridgerator', u'#refrigerator']",450,124,"February 13, 2006"
"A phrase that a guy says to a girl loudly in a public place to attempt to embarrass that girl. This is usually sarcastic and said to a complete stranger who wants to ask a guy something simple. The phrase originates from the movie ""Billy Madison"" when Adam Sandler's character makes an ass of himself while trying to fit in in high school...",no I won't make out with you,Dassh,[],708,131,"October 03, 2004"
"Attaining a position with noteworthy speed. Originates from Billboard Magazine's practice of putting a bullet sign in front of chart entries that have moved from one position to another with notable speed.",With A Bullet,I Shot The Prom Queen,"[u'#number one with a bullet', u'#billboard', u'#fall out boy', u'#high fidelity', u'#supurlative']",367,165,"February 05, 2006"
Refers to the vintage 1970-1980 Cadillac series. The rear windows had a diamond shape.,diamond in the back,James.,[],678,99,"June 24, 2004"
"1) somebody who works in or for the media who ensures that the public understands things from a certain perspective.     2) a radio station DJ, or MC at a club or event.",spin doctor,Bungalow Bill,[],3339,1167,"July 01, 2004"
"To look over the shoulder(s) of a person with whom you are currently engaged in conversation to see if you can find someone 'better' to talk to. Connotes a lack of interest in the current interlocutor and/or in what they are currently saying, and displays a desire to, if possible, upgrade to 'someone better' (e.g. of higher social status, better looks, etc.). ",shoulder surfing,p.s.,"[u'#shoulder', u'#surf', u'#sholder', u'#diss', u'#slight']",894,223,"February 03, 2006"
A kiss after one of the participants has just brushed their teeth. ,Colgate Kiss,LayanaGuthrum,"[u'#toothpaste', u'#kiss', u'#minty', u'#gross', u'#snog']",80,190,"February 08, 2006"
The phone number a person expects friends and family to use.,primary digits,Paul,[],45,127,"August 23, 2004"
"In the drum and bass scene, the DJ's practice of replaying a record that has been enthusiastically received by the audience. Spectators ""call for a rewind"" by holding cigarette lighters in the air; if there is enough demand, the DJ will spin the record backward and play it from the beginning.",rewind,Greenie,[],245,69,"December 11, 2003"
When your head bobs around when you about to fall asleep when sitting upright.  It is given this name because it looks like you're driving offroad.  ,four-wheeling,Bryan Fox,"[u'#sleep', u'#sleepy', u'#bobbing', u'#headbob', u'#tired']",1911,1165,"January 31, 2006"
The only show that makes me eager to watch the commercials.,super bowl,bigtones,[],1685,682,"January 15, 2005"
N. A woman who must cope with the temporary death of her relationship during football games.,Football Widow,Julie H,"[u'#baseball widow', u'#basketball widow', u'#hockey widow', u'#golf widow', u'#soccer widow']",356,70,"December 06, 2005"
People unable to think for themselves. Followers. Lemmings. Those with no cognitive ablilities of their own.,Sheeple,Naegling,[],2575,435,"October 02, 2003"
Food poisoning acquired from eating contaminated fake meat.,soymanella,Ian,[],65,96,"October 06, 2004"
"The rule you use to get out of the ""bros befo hoes"" rule.  Only to be used when there is a >80% chance of you getting laid.  ",self-first,Smitty,[],1073,349,"February 24, 2003"
A person who will only wear clothing that is hideously expensive and bears the 'right' tag or label in the belief that she (it is mostly she) is a better person for doing so.  Often tag hags are also fag hags for some reason.,tag hag,kiwimich,"[u'#fashionista', u'#fashion victim', u'#fashion club', u'#fag hag', u'#fashion cycle syndrome']",546,307,"January 30, 2006"
"U.S. Military Slang.  Referring to, or meaning anything and everything except ""no."" Generally used when at a loss for words. Also: Good copy, solid copy, roger, good or great; message received, understood. Glad to meet you, welcome. I do not know, but will check on it, I haven't the vaguest idea. I am not listening. That is enough of your drivel--sit down. Stop sniveling. You've got to be kidding. Yes. Thank you. Go to the next slide. You have taken the correct action. I don't know what that means, but am too embarrassed to ask for clarification. That is really neat, I want one too. Amen. ",Hooah,Anonymous,[],656,206,"August 12, 2003"
The point at which you first piss after you have been drinking your favorite alcoholic beverage and at this point you will be pissing every ten minutes,break the seal,matkillah,[],2275,322,"November 20, 2002"
(n) To use mouthwash instead of brushing one's teeth before going out for lack of time or total laziness.,dental denial,crackerjax,"[u'#dental', u'#denial', u'#mouthwash', u'#lazy', u'#breath']",354,206,"January 19, 2006"
"A celebratory dance performed (usually at work) on Fridays to commemorate the end of the grueling work week.  The dance is performed using no particular pattern or style, but often incorporates variations of ""The Robot"" while vocally producing Rock or Heavy Metal type sounds.",Fridance,shizon,"[u'#friday', u'#dance', u'#celebrate', u'#robot', u'#work']",297,129,"December 12, 2005"
"A common driving position in which the driver holds the wheel with his left hand while leaning to his right toward the passenger seat, usually bobbing his head or bumpin' with the beat.  It's a pretty badass way to drive.  This move works best in a Chevy Caprice or any pimp-style car with a 3-person front seat.",gangsta lean,Nick D,[],1294,421,"October 13, 2003"
"1) An act of what appears to be generosity- such as lending an acquaintance a CD or movie, etc., or allowing them to choose what to do for fun- that is really more of a method of evaluating whether or not they're up to your cool standards. 2) An inner struggle that involves the choice between what you believe is cool and what society tells you is cool; if you allow your sense of coolness to triumph over popular opinion, you have passed the awesomeness test.",awesomeness test,Megsi,"[u'#awesome', u'#test', u'#challenge', u'#cool', u'#david bowie']",237,132,"October 17, 2005"
